year,age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2005,40,M,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,N,3.920,50.407
2009,75,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2007,40,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,5.079,160.642
2006,38,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.544,94.073
2005,49,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.626,277.601
2006,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.431,84.046
2004,34,M,Married,Other,HS Grad,Middle Atlantic,Industrial,Good,Y,4.176,65.111
2008,57,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.756,116.265
2003,18,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.255,70.476
2004,55,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.276,195.676
2005,51,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.619,101.402
2008,33,M,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,N,4.398,81.283
2005,34,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.716,111.721
2006,36,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.498,89.880
2003,56,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.477,87.981
2006,70,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.477,87.981
2004,25,M,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.643,103.902
2006,32,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.663,105.928
2003,27,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.193,66.229
2004,28,M,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,N,3.544,34.607
2007,27,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2004,43,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,3.813,45.282
2005,50,M,Never Married,Other,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.301,73.776
2004,39,M,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,N,4.398,81.283
2008,52,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.041,154.685
2009,35,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.591,267.901
2007,57,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.176,176.990
2006,25,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.193,66.229
2006,33,M,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.756,116.265
2005,57,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.301,200.543
2008,71,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.623,101.824
2004,43,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.607,272.295
2003,23,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,3.556,35.033
2009,30,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2004,22,M,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.398,81.283
2006,59,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.301,200.543
2003,28,M,Never Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.000,148.413
2004,61,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2003,34,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.716,111.721
2005,43,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.029,152.839
2006,54,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.763,117.147
2005,69,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.353,77.738
2004,41,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.477,87.981
2003,48,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.833,125.525
2003,49,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.815,123.336
2009,42,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.064,158.295
2003,37,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.301,200.543
2004,55,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2008,21,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.255,70.476
2004,58,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.544,94.073
2006,31,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.398,81.283
2006,25,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.398,81.283
2006,32,M,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.613,100.764
2009,40,M,Never Married,Black,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.544,94.073
2003,44,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.602,99.689
2003,60,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,5.592,268.266
2006,23,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.398,81.283
2003,63,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.732,113.567
2008,44,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.477,87.981
2005,47,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Y,4.857,128.680
2004,61,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.670,106.724
2009,55,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.190,66.045
2003,24,M,Never Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,3.942,51.522
2007,42,M,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2006,25,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.342,76.894
2004,34,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.505,90.482
2009,53,M,Married,White,< HS Grad,Middle Atlantic,Information,Very Good,N,4.221,68.076
2009,53,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2009,70,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,N,4.851,127.901
2004,47,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.877,131.225
2003,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2003,33,M,Divorced,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.342,76.894
2005,34,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.681,107.904
2006,22,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.398,81.283
2009,74,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2003,40,M,Married,Black,Some College,Middle Atlantic,Information,Good,Y,4.591,98.599
2006,45,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.301,200.543
2009,43,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,5.053,156.504
2005,33,M,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.976,144.944
2009,62,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2008,37,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.799,121.430
2004,54,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.716,111.721
2005,34,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.230,68.748
2008,50,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2006,46,M,Divorced,White,Some College,Middle Atlantic,Industrial,Good,Y,4.556,95.231
2007,41,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.477,87.981
2003,63,M,Divorced,Black,Some College,Middle Atlantic,Industrial,Good,Y,4.163,64.274
2007,38,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.857,128.680
2006,35,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.740,114.476
2009,29,M,Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.724,112.649
2008,66,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.398,81.283
2004,37,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.329,75.895
2006,39,M,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.720,112.137
2003,42,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.447,85.384
2007,51,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.544,94.073
2009,55,M,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Good,Y,4.740,114.476
2006,51,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.176,176.990
2008,38,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Y,5.623,276.778
2005,49,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.623,101.824
2006,42,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.519,91.699
2009,43,M,Separated,White,< HS Grad,Middle Atlantic,Information,Good,N,4.462,86.695
2006,38,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.093,162.946
2008,59,M,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.936,139.214
2009,57,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.556,95.231
2005,25,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.204,66.962
2004,49,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.877,131.194
2004,41,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.505,90.482
2009,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.740,114.476
2003,61,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.371,79.128
2007,49,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.650,104.592
2008,52,M,Divorced,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.886,132.488
2007,43,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.954,141.775
2008,60,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.813,123.090
2005,46,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2004,21,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.021,55.767
2009,61,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.672,106.922
2007,32,M,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,58,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.477,87.981
2003,35,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.488,88.930
2004,26,M,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Y,4.398,81.283
2006,32,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2003,37,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.672,106.922
2007,22,M,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Good,N,4.079,59.097
2005,51,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.176,65.111
2004,44,M,Divorced,White,Advanced Degree,Middle Atlantic,Information,Good,Y,4.792,120.589
2005,35,M,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.061,157.701
2004,60,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.863,129.454
2007,40,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.176,176.990
2004,35,M,Never Married,White,< HS Grad,Middle Atlantic,Information,Very Good,N,4.079,59.097
2007,35,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,4.544,94.073
2008,47,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2003,43,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.398,81.283
2003,33,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.398,81.283
2003,60,M,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.033,153.458
2008,38,M,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.919,136.876
2005,53,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.318,75.043
2004,55,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.869,130.221
2003,57,M,Married,Black,HS Grad,Middle Atlantic,Information,Good,N,4.653,104.922
2005,64,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,3.903,49.555
2007,43,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.820,123.909
2008,35,M,Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.813,123.090
2008,54,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.359,78.155
2007,45,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.301,73.776
2003,58,M,Divorced,Asian,College Grad,Middle Atlantic,Information,Very Good,Y,4.929,138.299
2007,48,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,4.845,127.116
2003,46,M,Married,Asian,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.230,68.748
2004,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.435,84.391
2009,55,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2006,51,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.857,128.680
2005,49,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.255,70.476
2008,34,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.342,76.894
2007,53,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,5.000,148.413
2004,40,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2009,50,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,5.170,175.961
2006,37,M,Divorced,White,< HS Grad,Middle Atlantic,Information,Good,Y,4.591,98.599
2003,39,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.978,145.144
2004,52,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,Y,4.602,99.689
2003,50,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.949,141.089
2006,48,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.813,123.090
2006,47,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.863,129.454
2005,27,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.716,111.721
2006,39,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.643,103.902
2009,44,M,Married,Black,HS Grad,Middle Atlantic,Information,Good,Y,4.778,118.884
2003,37,M,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Y,5.021,151.591
2006,52,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.623,101.824
2004,26,M,Never Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2008,39,M,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Good,Y,4.602,99.689
2006,25,M,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,N,4.602,99.689
2005,31,M,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,N,4.544,94.073
2004,58,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,5.025,152.217
2005,30,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2004,27,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,Y,4.176,65.111
2003,40,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.556,95.231
2006,55,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,5.158,173.879
2009,35,M,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.265,193.411
2008,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.740,114.476
2006,29,M,Never Married,Asian,College Grad,Middle Atlantic,Industrial,Good,Y,5.079,160.642
2005,25,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.494,89.492
2004,40,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.792,120.589
2006,27,M,Married,White,< HS Grad,Middle Atlantic,Information,Good,N,4.301,73.776
2006,44,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.845,127.116
2006,49,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2003,22,M,Never Married,White,Some College,Middle Atlantic,Industrial,Good,N,3.544,34.607
2007,45,M,Married,White,Some College,Middle Atlantic,Industrial,Good,Y,4.740,114.476
2007,33,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.447,85.384
2007,63,M,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.763,318.342
2006,49,M,Never Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.954,141.775
2005,39,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2007,25,M,Never Married,Other,< HS Grad,Middle Atlantic,Industrial,Good,N,4.301,73.776
2005,29,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.875,130.982
2006,37,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.318,75.043
2008,35,M,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Y,5.043,154.990
2009,46,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.653,104.922
2008,58,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.292,73.118
2003,39,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.813,123.090
2008,41,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,5.061,157.701
2008,29,M,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Y,4.398,81.283
2009,37,M,Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.675,107.256
2009,62,M,Married,White,HS Grad,Middle Atlantic,Information,Good,N,4.369,78.982
2008,27,M,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.301,73.776
2003,37,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.544,94.073
2006,56,M,Separated,Asian,College Grad,Middle Atlantic,Information,Good,N,4.602,99.689
2004,36,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,5.176,176.990
2005,23,M,Never Married,Other,HS Grad,Middle Atlantic,Information,Very Good,N,4.301,73.776
2003,46,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.602,99.689
2009,26,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,4.544,94.073
2006,43,M,Married,White,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.556,95.231
2007,36,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.845,127.116
2003,54,M,Separated,White,Some College,Middle Atlantic,Information,Good,Y,4.602,99.689
2003,62,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.561,95.689
2006,40,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2006,53,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.778,118.884
2007,48,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.176,176.990
2004,23,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.114,61.188
2009,34,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.398,81.283
2004,43,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,N,5.547,256.401
2006,55,M,Married,White,HS Grad,Middle Atlantic,Information,Good,Y,4.398,81.283
2007,59,M,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.398,81.283
2007,60,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,N,4.021,55.767
2009,49,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.322,75.356
2006,45,M,Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,Y,4.875,130.982
2006,31,M,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,3.778,43.735
2004,34,M,Never Married,White,College Grad,Middle Atlantic,Information,Good,Y,4.740,114.476
2005,26,M,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.740,114.476
2007,22,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.398,81.283
2004,40,M,Married,White,HS Grad,Middle Atlantic,Information,Good,N,4.228,68.572
2009,41,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2006,36,M,Never Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Y,4.580,97.493
2007,38,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Very Good,N,4.134,62.398
2003,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.580,97.493
2006,47,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.903,134.705
2005,47,M,Separated,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.114,61.188
2007,35,M,Married,White,College Grad,Middle Atlantic,Information,Good,N,4.778,118.884
2008,49,M,Married,Asian,HS Grad,Middle Atlantic,Information,Very Good,Y,4.176,65.111
2004,40,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2004,32,M,Widowed,White,College Grad,Middle Atlantic,Industrial,Very Good,N,4.653,104.922
2008,57,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.301,73.776
2008,56,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.954,141.775
2009,73,M,Married,White,< HS Grad,Middle Atlantic,Industrial,Good,N,4.505,90.482
2007,29,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Y,4.301,73.776
2003,49,M,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Y,4.903,134.705
2009,30,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2008,29,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.519,91.699
2004,36,M,Married,White,Some College,Middle Atlantic,Information,Very Good,N,4.556,95.231
2009,39,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,5.053,156.504
2007,48,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.653,104.922
2006,45,M,Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.602,99.689
2004,50,M,Married,White,College Grad,Middle Atlantic,Industrial,Good,N,4.000,54.598
2003,42,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,3.477,32.366
2007,58,M,Married,White,Some College,Middle Atlantic,Industrial,Good,N,4.778,118.884
2007,48,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2003,48,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.699,109.834
2005,45,M,Married,White,Some College,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2007,41,M,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.708,110.783
2008,27,M,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.539,93.557
2004,44,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.699,109.834
2003,32,M,Married,White,College Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2006,46,M,Married,White,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2005,52,M,Married,Black,HS Grad,Middle Atlantic,Information,Good,N,3.954,52.156
2003,22,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,N,3.778,43.735
2004,53,M,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,4.763,117.147
2008,34,M,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Y,4.778,118.884
2009,38,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Y,5.000,148.413
2009,42,M,Married,White,< HS Grad,Middle Atlantic,Information,Very Good,Y,4.623,101.824
2005,25,M,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Y,4.544,94.073
2004,29,M,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.462,86.695
2005,28,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.954,141.775
2005,46,M,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Y,4.204,66.962
2007,55,M,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Y,4.778,118.884
2004,56,M,Married,White,HS Grad,Middle Atlantic,Industrial,Good,N,4.661,105.768
2005,41,M,Divorced,Black,HS Grad,Middle Atlantic,Information,Good,Y,4.778,118.884
2009,61,M,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,N,5.176,176.990
2003,47,M,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Y,4.176,65.111
2006,52,M,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Y,4.447,85.384
2004,27,M,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,N,4.279,72.150
